Longitude,Latitude,date
-71.16,42.47,2008-08-03
-72.34,42.72,2008-06-15
-71.06,42.04,2008-06-06
-72.19,42.68,2009-05-22
-72.19,42.68,2009-06-12
-70.95,42.10,2008-06-10
-70.95,42.10,2008-06-23
-71.70,42.60,2008-06-28
-71.70,42.60,2009-06-11
-71.30,42.43,2008-05-29
-71.30,42.43,2008-08-28
-71.03,42.51,2008-06-01
-71.03,42.51,2008-06-08
-71.03,42.51,2008-06-29
-71.03,42.51,2008-07-07
-70.68,42.05,2008-06-21
-70.68,42.05,2008-06-22
-70.68,42.05,2008-06-23
-70.68,42.05,2008-06-24
-70.68,42.05,2008-06-26
-70.68,42.05,2008-06-27
-70.68,42.05,2008-06-28
-70.68,42.05,2008-06-29
-70.68,42.05,2008-06-30
-70.68,42.05,2008-07-01
-70.68,42.05,2008-07-15
-70.68,42.05,2008-07-17
-70.68,42.05,2008-07-26
-70.68,42.05,2009-07-05
-70.68,42.05,2009-07-06
-70.68,42.05,2009-07-15
-70.68,42.05,2009-07-16
-70.68,42.05,2009-07-18
-71.52,42.47,2008-06-01
-71.52,42.47,2008-06-08
-71.52,42.47,2008-06-15
-71.52,42.47,2008-06-29
-71.52,42.47,2008-07-13
-71.52,42.47,2008-07-20
-70.76,42.08,2008-06-03
-70.76,42.08,2008-06-11
-70.76,42.08,2008-06-17
-70.76,42.08,2008-06-23
-70.76,42.08,2008-07-03
-70.76,42.08,2008-07-15
-70.76,42.08,2008-07-30
-70.76,42.08,2008-08-16
-71.27,42.62,2008-07-05
-71.27,42.62,2008-07-17
-71.27,42.62,2008-07-20
-71.27,42.62,2008-07-26
-71.27,42.62,2008-08-04
-71.27,42.62,2008-08-19
-71.27,42.62,2008-08-23
-70.05,41.95,2008-06-16
-70.77,41.97,2008-06-14
-70.77,41.97,2008-07-11
-70.77,41.97,2008-07-19
-70.98,42.67,2008-06-02
-70.98,42.67,2008-06-03
-70.98,42.67,2008-06-14
-70.98,42.67,2008-06-28
-71.94,42.27,2008-08-04
-71.94,42.27,2008-08-17
-71.94,42.27,2008-08-24
-71.94,42.27,2008-08-31
-71.94,42.27,2009-05-31
-71.94,42.27,2009-08-02
-70.04,41.73,2008-06-01
-70.04,41.73,2008-06-21
-70.04,41.73,2008-06-26
-70.04,41.73,2008-07-01
-71.76,42.68,2008-06-03
-71.83,42.27,2008-06-09
-71.83,42.27,2009-06-14
-71.73,42.60,2008-06-10
-71.73,42.60,2008-06-25
-71.82,42.88,2008-06-26
-71.41,42.32,2008-06-28
-71.41,42.32,2008-07-12
-71.41,42.32,2008-07-25
-71.41,42.32,2008-08-02
-71.41,42.32,2009-06-29
-71.41,42.32,2009-07-04
-71.41,42.32,2009-07-17
-71.41,42.32,2010-06-24
-71.41,42.32,2010-07-01
-71.11,42.56,2008-06-01
-71.11,42.56,2008-06-03
-71.11,42.56,2008-06-13
-71.13,41.79,2008-06-27
-71.43,42.46,2008-06-09
-71.43,42.46,2008-06-21
-71.43,42.46,2008-07-02
-71.43,42.46,2008-07-04
-71.43,42.46,2009-05-19
-71.43,42.46,2009-05-24
-71.43,42.46,2009-05-30
-71.43,42.46,2009-07-05
-70.99,42.68,2008-06-14
-70.99,42.68,2008-07-06
-70.99,42.68,2008-09-26
-70.99,42.68,2009-05-16
-70.09,41.68,2008-06-11
-72.52,42.42,2008-05-26
-72.52,42.42,2008-06-02
-72.52,42.42,2008-06-12
-72.52,42.42,2009-06-09
-72.52,42.42,2009-06-15
-72.52,42.42,2009-07-12
-72.52,42.42,2009-07-16
-71.39,42.46,2008-06-29
-72.74,42.60,2008-07-15
-72.74,42.60,2008-07-28
-71.21,42.06,2008-06-02
-71.21,42.06,2008-06-03
-71.21,42.06,2008-06-16
-71.21,42.06,2012-06-26
-81.83,28.18,2008-06-03
-81.83,28.18,2008-06-07
-81.83,28.18,2008-06-22
-72.58,42.44,2008-06-13
-72.58,42.44,2008-06-18
-72.58,42.44,2008-08-09
-70.99,42.02,2008-06-02
-70.99,42.02,2009-06-10
-70.99,42.02,2010-05-20
-70.99,42.02,2010-05-21
-70.99,42.02,2011-06-20
-70.99,42.02,2011-06-27
-70.99,42.02,2012-06-19
-70.99,42.02,2012-06-20
-70.99,42.02,2013-07-13
-70.99,42.02,2013-07-17
-70.99,42.02,2015-07-09
-70.99,42.02,2016-07-27
-71.56,42.31,2008-06-03
-70.93,42.67,2008-07-11
-70.93,42.67,2008-07-31
-70.93,42.67,2008-08-08
-70.93,42.67,2009-06-04
-70.93,42.67,2009-06-12
-70.93,42.67,2009-06-21
-70.93,42.67,2009-06-22
-70.93,42.67,2009-07-09
-70.93,42.67,2009-07-17
-70.93,42.67,2009-07-20
-70.93,42.67,2009-07-21
-70.93,42.67,2010-06-12
-70.93,42.67,2010-06-30
-70.93,42.67,2010-07-01
-70.93,42.67,2010-07-03
-70.93,42.67,2010-07-11
-70.93,42.67,2010-07-12
-70.93,42.67,2010-07-14
-70.93,42.67,2010-07-26
-70.93,42.67,2011-05-31
-70.93,42.67,2011-06-03
-70.93,42.67,2011-06-06
-70.93,42.67,2011-06-10
-70.93,42.67,2011-07-07
-70.93,42.67,2011-07-09
-70.93,42.67,2011-07-14
-70.93,42.67,2011-07-26
-70.93,42.67,2011-08-13
-70.93,42.67,2012-05-13
-70.93,42.67,2012-05-21
-70.93,42.67,2012-07-08
-70.93,42.67,2013-06-01
-70.93,42.67,2013-06-19
-70.97,42.79,2008-07-25
-70.97,42.79,2008-08-01
-70.97,42.79,2009-05-21
-70.76,42.03,2008-07-10
-71.12,41.91,2008-06-11
-71.12,41.91,2008-06-18
-72.70,42.38,2008-06-04
-70.81,43.97,2008-07-10
-71.79,42.55,2008-06-14
-71.33,41.99,2008-06-14
-71.33,41.99,2008-06-24
-71.33,41.99,2008-07-03
-71.33,41.99,2008-07-12
-71.33,41.99,2008-07-22
-71.33,41.99,2008-08-04
-71.06,41.56,2008-06-09
-71.06,41.56,2008-06-26
-71.06,41.56,2008-06-28
-71.53,42.53,2008-07-05
-71.53,42.53,2008-07-11
-72.04,42.08,2008-06-05
-72.04,42.08,2008-06-08
-72.04,42.08,2008-06-13
-72.04,42.08,2008-06-26
-72.04,42.08,2009-06-13
-72.04,42.08,2009-07-02
-72.04,42.08,2009-07-05
-72.04,42.08,2009-07-07
-71.25,42.37,2008-06-18
-71.25,42.37,2008-06-22
-71.20,42.35,2008-06-30
-71.20,42.35,2008-07-01
-71.20,42.35,2008-07-06
-71.20,42.35,2008-07-17
-71.20,42.35,2008-08-01
-71.13,42.43,2008-06-07
-71.13,42.43,2008-06-12
-71.13,42.43,2008-06-27
-71.13,42.43,2009-07-11
-70.97,42.03,2008-07-03
-70.97,42.03,2008-07-08
-70.97,42.03,2009-07-10
-70.97,42.03,2009-08-30
-71.53,42.48,2008-07-15
-71.53,42.48,2008-08-05
-70.97,41.78,2008-06-08
-88.25,42.11,2008-06-09
-72.07,41.63,2008-06-09
-70.85,42.68,2008-06-23
-71.07,42.76,2008-06-07
-71.38,42.46,2008-06-05
-71.38,42.46,2008-06-21
-71.38,42.46,2008-06-30
-71.38,42.46,2009-06-11
-71.38,42.46,2009-06-24
-71.38,42.46,2009-06-25
-71.38,42.46,2009-07-18
-71.38,42.46,2009-07-20
-71.38,42.46,2009-07-25
-71.38,42.46,2009-07-28
-71.38,42.46,2009-08-10
-71.45,42.79,2008-06-09
-71.45,42.79,2008-06-13
-71.45,42.79,2008-07-07
-71.45,42.79,2008-07-09
-71.06,42.54,2008-06-14
-71.06,42.54,2008-06-19
-71.06,42.54,2008-06-22
-71.06,42.54,2008-06-25
-71.06,42.54,2008-07-13
-71.06,42.54,2008-07-30
-71.06,42.54,2008-08-03
-71.06,42.54,2009-05-08
-71.06,42.54,2010-04-22
-71.06,42.54,2011-07-05
-71.06,42.54,2011-07-06
-71.06,42.54,2011-07-12
-71.06,42.54,2011-08-07
-71.17,41.87,2008-06-10
-73.35,42.41,2008-07-17
-73.35,42.41,2008-07-28
-73.35,42.41,2008-07-29
-73.35,42.41,2008-07-30
-73.35,42.41,2010-07-02
-73.35,42.41,2010-07-05
-73.35,42.41,2010-07-09
-71.67,42.34,2008-07-10
-71.67,42.34,2008-08-06
-71.67,42.34,2009-06-03
-71.67,42.34,2009-07-19
-71.67,42.34,2010-07-21
-71.67,42.34,2011-06-30
-71.67,42.34,2011-07-08
-71.67,42.34,2012-06-30
-71.67,42.34,2012-07-09
-71.67,42.34,2013-07-19
-71.06,42.64,2008-06-25
-70.25,41.64,2008-06-21
-70.25,41.64,2009-06-14
-70.25,41.64,2011-04-02
-70.81,42.15,2008-06-14
-70.81,42.15,2008-06-17
-70.81,42.15,2008-06-19
-70.81,42.15,2008-06-23
-70.81,42.15,2008-07-02
-70.81,42.15,2008-07-23
-77.60,43.14,2008-06-12
-77.60,43.14,2008-06-24
-77.60,43.14,2008-07-07
-77.60,43.14,2008-07-18
-77.60,43.14,2008-07-26
-77.60,43.14,2008-08-13
-77.60,43.14,2008-08-21
-77.60,43.14,2008-08-27
-77.60,43.14,2009-08-01
-71.18,42.51,2008-06-28
-71.18,42.51,2009-06-17
-71.18,42.51,2009-07-02
-70.84,42.70,2008-06-14
-85.09,39.39,2008-06-21
-85.09,39.39,2008-06-28
-85.09,39.39,2008-07-08
-71.46,42.53,2008-06-13
-71.46,42.53,2008-07-06
-76.28,40.06,2008-06-08
-76.28,40.06,2010-05-14
-71.25,42.05,2008-06-11
-71.25,42.05,2008-06-23
-71.25,42.05,2008-07-08
-71.25,42.05,2008-07-10
-76.62,38.83,2008-08-12
-76.62,38.83,2008-08-14
-76.62,38.83,2008-08-21
-76.62,38.83,2009-06-16
-76.62,38.83,2009-09-22
-76.62,38.83,2012-04-14
-71.06,42.09,2008-07-01
-71.06,42.09,2008-07-08
-71.06,42.09,2008-07-13
-71.06,42.09,2008-07-22
-71.06,42.09,2008-08-09
-71.19,42.66,2008-06-19
-71.19,42.66,2008-06-29
-71.19,42.66,2008-07-10
-71.19,42.66,2008-07-15
-71.19,42.66,2009-06-16
-71.19,42.66,2009-06-27
-71.19,42.66,2011-07-31
-71.19,42.66,2013-07-27
-71.19,42.66,2013-08-12
-71.19,42.66,2014-06-21
-71.19,42.66,2016-07-14
-71.19,42.66,2016-07-18
-70.93,42.60,2008-08-11
-70.93,42.60,2008-08-19
-70.93,42.60,2008-09-01
-70.93,42.60,2009-08-07
-70.93,42.60,2009-08-14
-70.93,42.60,2010-07-04
-70.93,42.60,2010-07-17
-70.93,42.60,2010-07-31
-70.93,42.60,2010-08-03
-70.93,42.60,2010-08-14
-70.93,42.60,2011-06-23
-70.93,42.60,2011-07-26
-70.93,42.60,2011-07-31
-70.93,42.60,2011-08-20
-70.93,42.60,2012-05-26
-70.93,42.60,2012-06-12
-70.93,42.60,2012-07-22
-70.93,42.60,2012-07-27
-70.93,42.60,2012-08-04
-70.93,42.60,2012-08-08
-70.93,42.60,2013-06-03
-70.93,42.60,2013-06-04
-70.93,42.60,2013-06-25
-70.93,42.60,2013-06-26
-71.47,42.29,2008-07-25
-72.12,43.07,2008-07-26
-72.12,43.07,2008-08-09
-71.48,42.30,2008-07-03
-71.24,42.14,2008-07-14
-70.68,42.10,2008-06-12
-70.68,42.10,2008-06-14
-70.68,42.10,2008-06-22
-70.68,42.10,2008-08-01
-71.41,43.00,2008-07-22
-71.41,43.00,2011-07-22
-71.41,43.00,2012-07-12
-71.41,43.00,2013-06-07
-71.41,43.00,2013-06-11
-71.41,43.00,2013-08-26
-71.41,43.00,2015-05-30
-71.41,43.00,2015-08-13
-71.41,43.00,2015-09-07
-71.41,43.00,2016-07-11
-71.41,43.00,2016-07-19
-71.41,43.00,2016-07-28
-71.41,43.00,2016-09-08
-72.27,42.57,2008-06-18
-72.27,42.57,2008-06-19
-71.42,42.26,2008-06-12
-71.42,42.26,2008-07-21
-71.42,42.26,2008-08-05
-77.60,43.13,2008-06-26
-71.55,43.19,2008-06-19
-71.55,43.19,2008-08-04
-71.44,42.62,2008-06-10
-71.15,41.93,2008-06-14
-73.23,41.39,2009-06-25
-73.23,41.39,2009-06-28
-73.23,41.39,2010-06-12
-73.23,41.39,2010-06-13
-73.23,41.39,2011-06-07
-73.23,41.39,2011-06-28
-71.53,42.75,2008-07-01
-71.53,42.75,2008-07-03
-71.53,42.75,2008-07-04
-71.53,42.75,2008-07-05
-71.53,42.75,2008-07-08
-71.53,42.75,2008-07-09
-71.53,42.75,2008-07-14
-71.53,42.75,2008-07-15
-71.53,42.75,2008-07-19
-71.53,42.75,2008-07-23
-71.53,42.75,2008-07-24
-71.53,42.75,2008-07-29
-71.53,42.75,2008-07-31
-71.53,42.75,2008-08-03
-71.53,42.75,2008-08-08
-71.53,42.75,2008-08-11
-71.53,42.75,2008-08-25
-71.53,42.75,2009-06-16
-71.53,42.75,2009-06-21
-71.53,42.75,2009-07-06
-71.53,42.75,2009-07-07
-71.53,42.75,2009-07-15
-71.53,42.75,2009-07-20
-71.53,42.75,2009-07-28
-71.53,42.75,2009-08-04
-71.53,42.75,2009-08-10
-71.53,42.75,2009-08-16
-71.53,42.75,2009-08-18
-71.53,42.75,2009-09-01
-71.53,42.75,2010-05-26
-71.53,42.75,2010-05-30
-71.53,42.75,2010-06-02
-71.53,42.75,2010-06-18
-71.53,42.75,2010-06-27
-71.53,42.75,2010-07-08
-71.53,42.75,2010-07-15
-71.53,42.75,2010-07-19
-71.53,42.75,2010-07-30
-71.53,42.75,2011-06-05
-71.53,42.75,2011-06-14
-71.53,42.75,2011-06-20
-71.53,42.75,2011-06-24
-71.53,42.75,2011-07-02
-71.53,42.75,2011-07-10
-71.53,42.75,2011-07-13
-71.53,42.75,2011-07-18
-71.53,42.75,2011-07-24
-71.53,42.75,2011-07-31
-71.53,42.75,2011-08-08
-71.53,42.75,2011-08-16
-71.53,42.75,2012-05-23
-71.53,42.75,2012-05-30
-71.53,42.75,2012-06-07
-71.53,42.75,2012-06-09
-71.53,42.75,2012-06-23
-71.53,42.75,2012-06-29
-71.53,42.75,2012-07-04
-71.53,42.75,2012-07-11
-71.53,42.75,2012-07-18
-71.53,42.75,2012-07-22
-71.53,42.75,2012-07-29
-71.53,42.75,2012-08-11
-71.53,42.75,2012-08-29
-71.53,42.75,2013-05-18
-71.53,42.75,2013-05-31
-71.53,42.75,2013-06-06
-71.53,42.75,2013-06-09
-71.53,42.75,2013-06-16
-71.53,42.75,2013-06-28
-71.53,42.75,2013-07-16
-71.53,42.75,2013-07-19
-71.53,42.75,2013-07-29
-71.53,42.75,2014-05-18
-71.53,42.75,2014-05-25
-71.53,42.75,2014-06-04
-71.53,42.75,2014-06-18
-71.53,42.75,2014-06-26
-71.53,42.75,2014-07-28
-71.53,42.75,2014-08-15
-71.53,42.75,2015-06-07
-71.53,42.75,2015-06-17
-71.53,42.75,2015-07-09
-71.53,42.75,2015-07-15
-71.53,42.75,2015-07-25
-71.53,42.75,2015-08-02
-71.00,42.54,2008-06-15
-71.00,42.54,2008-08-05
-70.70,41.93,2008-06-16
-70.70,41.93,2009-07-05
-70.70,41.93,2010-06-20
-70.84,41.71,2008-06-15
-70.84,41.71,2008-06-26
-71.01,42.17,2008-06-23
-71.10,42.38,2008-07-24
-70.96,42.23,2008-06-16
-70.99,43.45,2008-06-27
-81.21,37.02,2008-06-20
-71.17,43.26,2008-07-26
-70.69,42.13,2008-06-23
-70.69,42.13,2008-07-03
-70.69,42.13,2008-07-25
-73.12,44.25,2008-08-13
-71.23,42.45,2008-07-25
-71.23,42.45,2008-08-09
-71.23,42.45,2009-08-10
-71.23,42.45,2009-08-23
-71.23,42.45,2011-05-24
-71.23,42.45,2011-06-05
-71.41,43.54,2008-07-27
-71.41,43.54,2008-08-09
-71.41,43.54,2009-08-10
-71.41,43.54,2009-08-20
-71.41,43.54,2011-05-27
-71.41,43.54,2012-05-27
-71.41,43.54,2012-07-06
-71.41,43.54,2013-06-09
-71.41,43.54,2013-07-11
-71.41,43.54,2014-06-08
-88.07,41.83,2008-06-26
-76.22,36.85,2008-06-18
-76.22,36.85,2008-06-29
-70.80,42.07,2008-07-06
-70.80,42.07,2009-05-21
-70.80,42.07,2009-05-26
-70.80,42.07,2009-06-02
-70.80,42.07,2009-06-04
-70.80,42.07,2009-06-09
-70.80,42.07,2009-06-16
-70.80,42.07,2009-06-17
-70.80,42.07,2009-07-01
-70.80,42.07,2009-07-11
-70.80,42.07,2009-07-14
-70.80,42.07,2009-07-22
-70.80,42.07,2009-07-30
-70.80,42.07,2010-05-20
-71.04,41.62,2008-06-19
-71.03,41.57,2008-06-27
-71.03,41.57,2008-08-01
-71.03,41.57,2010-07-07
-71.03,41.57,2014-07-02
-71.03,41.57,2014-07-08
-71.03,41.57,2016-07-06
-77.24,38.28,2008-06-20
-80.93,35.07,2008-06-24
-71.09,41.60,2008-06-29
-83.18,39.85,2008-06-20
-72.04,42.56,2008-06-20
-72.04,42.56,2008-06-27
